Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q38942	Q8L7F7	RAE1	NUP62	F23A5.2	T14P1.20	LOCUS:2025732	LOCUS:2055547	21189294:0004:HT
Q38942	Q8L7N0	RAE1	CCT6B	F23A5.2	F1N13.210	LOCUS:2025732	LOCUS:2146082	21189294:0004:HT
Q38942	Q8L924	RAE1	Q8L924	F23A5.2	T20F21.5	LOCUS:2025732	LOCUS:2058744	21189294:0004:HT
Q38942	Q8LAF4	RAE1	Q8LAF4	F23A5.2	T18K17.9|T18K17_9	LOCUS:2025732	LOCUS:2197274	21189294:0004:HT
Q38942	Q8LD46	RAE1	RPL23AA	F23A5.2	F12L6.12	LOCUS:2025732	LOCUS:2039712	21189294:0004:HT
Q38942	Q8LD49	RAE1	ATHX	F23A5.2	F14I3.8	LOCUS:2025732	LOCUS:2011932	21189294:0004:HT
Q38942	Q8RWH9	RAE1	NUP58	F23A5.2	C7A10.230	LOCUS:2025732	LOCUS:2115055	21189294:0004:HT
Q38942	Q8RWT5	RAE1	Q8RWT5	F23A5.2	F19I3.27|F19I3_27	LOCUS:2025732	LOCUS:2044807	21189294:0004:HT
Q38942	Q8RWV0	RAE1	TKL-1	F23A5.2	T4C21_160	LOCUS:2025732	LOCUS:2101871	21189294:0004:HT
Q38942	Q8RWW9	RAE1	Q8RWW9	F23A5.2	T14C9.130|T14C9_130	LOCUS:2025732	LOCUS:2179504	21189294:0004:HT
Q38942	Q8RXH2	RAE1	NUP85	F23A5.2	F26P21.30	LOCUS:2025732	LOCUS:2123757	21189294:0004:HT
Q38942	Q8RY25	RAE1	NUP98A	F23A5.2	F14N23.29	LOCUS:2025732	LOCUS:2012788	21189294:0004:HT
Q38942	Q8VXX4	RAE1	RFC3	F23A5.2	T1G16	LOCUS:2025732	LOCUS:2180315	21189294:0004:HT
Q38942	Q8VYM4	RAE1	PSRP2	F23A5.2	F4F15.260	LOCUS:2025732	LOCUS:2083810	21189294:0004:HT
Q38942	Q8VZ55	RAE1	RPL35	F23A5.2		LOCUS:2025732	LOCUS:2061441	21189294:0004:HT
Q38942	Q8VZ87	RAE1	LHCB1.2	F23A5.2	F1N18.5	LOCUS:2025732	LOCUS:2019287	21189294:0004:HT
Q38942	Q8W493	RAE1	LFNR2	F23A5.2	T20H2.20	LOCUS:2025732	LOCUS:2198651	21189294:0004:HT
Q38942	Q8W4H7	RAE1	A2	F23A5.2	T6D22.31	LOCUS:2025732	LOCUS:2205105	21189294:0004:HT
Q38942	Q93VR9	RAE1	SEH1	F23A5.2	F15H21.2	LOCUS:2025732	LOCUS:2014210	21189294:0004:HT
Q38942	Q93VT9	RAE1	RPL10A	F23A5.2	F14L17.9	LOCUS:2025732	LOCUS:2012612	21189294:0004:HT
Q38942	Q93YW0	RAE1	EX1	F23A5.2	T16L1.120	LOCUS:2025732	LOCUS:2134168	21189294:0004:HT
Q38942	Q940P8	RAE1	CCT2	F23A5.2	F22D1.60	LOCUS:2025732	LOCUS:2147132	21189294:0004:HT
Q38942	Q944G9	RAE1	FBA2	F23A5.2	F19H22.70	LOCUS:2025732	LOCUS:2120192	21189294:0004:HT
Q38942	Q94K05	RAE1	CCT8	F23A5.2	T11I18.7	LOCUS:2025732	LOCUS:2095948	21189294:0004:HT
Q38942	Q96262	RAE1	PCAP1	F23A5.2	F1C12.180	LOCUS:2025732	LOCUS:2120402	21189294:0004:HT
Q38942	Q96291	RAE1	BAS1	F23A5.2	F24K9.28|T19F11.3	LOCUS:2025732	LOCUS:2080707	21189294:0004:HT
Q38942	Q9ASS4	RAE1	Q9ASS4	F23A5.2	K23F3.10|MJE7.1	LOCUS:2025732	LOCUS:2165981	21189294:0004:HT
Q38942	Q9ASV5	RAE1	Q9ASV5	F23A5.2	T19P19.80|T19P19_80	LOCUS:2025732	LOCUS:2135267	21189294:0004:HT
Q38942	Q9C5C2	RAE1	TGG2	F23A5.2	T1N24.18	LOCUS:2025732	LOCUS:2180567	21189294:0004:HT
Q38942	Q9C5S2	RAE1	IRE1A	F23A5.2	MJB20.8	LOCUS:2025732	LOCUS:2053928	21189294:0004:HT
Q38942	Q9C667	RAE1	CPN60B4	F23A5.2	F28B23.11	LOCUS:2025732	LOCUS:2028751	21189294:0004:HT
Q38942	Q9C7M2	RAE1	Q9C7M2	F23A5.2	F14C21.55|F14C21_55	LOCUS:2025732	LOCUS:2011040	21189294:0004:HT
Q38942	Q9C7X7	RAE1	HSP70-18	F23A5.2	F13N6.9	LOCUS:2025732	LOCUS:2010713	21189294:0004:HT
Q38942	Q9C811	RAE1	NUP160	F23A5.2	F10C21.8	LOCUS:2025732	LOCUS:2007023	21189294:0004:HT
Q38942	Q9C8Y2	RAE1	CAR2	F23A5.2	T27F4.11	LOCUS:2025732	LOCUS:2201497	21189294:0004:HT
Q38942	Q9C9W5	RAE1	HPR	F23A5.2	T23K23.14	LOCUS:2025732	LOCUS:2200231	21189294:0004:HT
Q38942	Q9CAF4	RAE1	NUP1	F23A5.2	F13M14.6|F18K10.27	LOCUS:2025732	LOCUS:2075785	21189294:0004:HT
Q38942	Q9FFA5	RAE1	REM1.4	F23A5.2	MRO11.21	LOCUS:2025732	LOCUS:2172793	21189294:0004:HT
Q38942	Q9FFK6	RAE1	NUP88	F23A5.2	MJJ3.8	LOCUS:2025732	LOCUS:2166424	21189294:0004:HT
Q38942	Q9FGM6	RAE1	MFH8.2	F23A5.2		LOCUS:2025732	LOCUS:2163751	21189294:0004:HT
Q38942	Q9FHF0	RAE1	RPS4B	F23A5.2	K17O22.2	LOCUS:2025732	LOCUS:2153207	21189294:0004:HT
Q38942	Q9FKP8	RAE1	ZHD1	F23A5.2	MNA5.14	LOCUS:2025732	LOCUS:2168240	21189294:0004:HT
Q38942	Q9FKW6	RAE1	LFNR1	F23A5.2	K2A18.27	LOCUS:2025732	LOCUS:2156917	21189294:0004:HT
Q38942	Q9FVQ1	RAE1	NUCL1	F23A5.2	F27K7.6	LOCUS:2025732	LOCUS:2028451	21189294:0004:HT
Q38942	Q9FWS3	RAE1	CG1	F23A5.2	F1B16.12	LOCUS:2025732	LOCUS:2018452	21189294:0004:HT
Q38942	Q9FX54	RAE1	GAPC2	F23A5.2	T6J4.17	LOCUS:2025732	LOCUS:2010007	21189294:0004:HT
Q38942	Q9FX97	RAE1	FUT12	F23A5.2	F14J22.8|F14J22_18	LOCUS:2025732	LOCUS:2012217	21189294:0004:HT
Q38942	Q9FZ70	RAE1	Q9FZ70	F23A5.2	F13B4.6	LOCUS:2025732	LOCUS:2010032	21189294:0004:HT
Q38942	Q9FZ76	RAE1	RPL6A	F23A5.2	F25I16.12	LOCUS:2025732	LOCUS:2027483	21189294:0004:HT
Q38942	Q9LD57	RAE1	PGK1	F23A5.2	MBK21.15	LOCUS:2025732	LOCUS:2087750	21189294:0004:HT
Q38942	Q9LFB0	RAE1	Q9LFB0	F23A5.2	F7J8.240|F7J8_240	LOCUS:2025732	LOCUS:2150119	21189294:0004:HT
Q38942	Q9LFS2	RAE1	GEX3	F23A5.2	F1N13.160	LOCUS:2025732	LOCUS:2146122	21189294:0004:HT
Q38942	Q9LFS8	RAE1	SMC5	F23A5.2	F1N13.60	LOCUS:2025732	LOCUS:2146107	21189294:0004:HT
Q38942	Q9LHA8	RAE1	HSP70-4	F23A5.2	T16H11.7|T2E22.11	LOCUS:2025732	LOCUS:2101222	21189294:0004:HT
Q38942	Q9LIC3	RAE1	PCMP-H85	F23A5.2	MMM17.3	LOCUS:2025732	LOCUS:2091546	21189294:0004:HT
Q38942	Q9LJE4	RAE1	CPN60B2	F23A5.2	MRP15.11	LOCUS:2025732	LOCUS:2092825	21189294:0004:HT
Q38942	Q9LKR3	RAE1	BIP1	F23A5.2	T26D3.10|T26D3_50	LOCUS:2025732	LOCUS:2182783	21189294:0004:HT
Q38942	Q9LNN3	RAE1	Q9LNN3	F23A5.2	F8L10.6	LOCUS:2025732	LOCUS:2037010	21189294:0004:HT
Q38942	Q9LPC2	RAE1	Q9LPC2	F23A5.2	F22M8.12|F22M8_12	LOCUS:2025732	LOCUS:2025462	21189294:0004:HT
Q38942	Q9LPW0	RAE1	GAPA2	F23A5.2	F13K23.15	LOCUS:2025732	LOCUS:2010361	21189294:0004:HT
Q38942	Q9LQ07	RAE1	EXPA18	F23A5.2	F16P17.14|F16P17_31	LOCUS:2025732	LOCUS:2015539	21189294:0004:HT
Q38942	Q9LT27	RAE1	Q9LT27	F23A5.2	MPN9.5	LOCUS:2025732	LOCUS:2092266	21189294:0004:HT
Q38942	Q9LT39	RAE1	Q9LT39	F23A5.2		LOCUS:2025732	LOCUS:2091871	21189294:0004:HT
Q38942	Q9LU25	RAE1	Q9LU25	F23A5.2		LOCUS:2025732	LOCUS:2094962	21189294:0004:HT
Q38942	Q9LV21	RAE1	CCT4	F23A5.2	MRC8	LOCUS:2025732	LOCUS:2092697	21189294:0004:HT
Q38942	Q9LX12	RAE1	IPS3	F23A5.2	T31P16_160	LOCUS:2025732	LOCUS:2184153	21189294:0004:HT
Q38942	Q9LX54	RAE1	Q9LX54	F23A5.2	F25L23.30	LOCUS:2025732	LOCUS:2081257	21189294:0004:HT
Q38942	Q9LY74	RAE1	VTE3	F23A5.2	MAA21.40	LOCUS:2025732	LOCUS:2087393	21189294:0004:HT
Q38942	Q9LZ61	RAE1	T32M21_240	F23A5.2	T1E3.5	LOCUS:2025732	LOCUS:2184427	21189294:0004:HT
Q38942	Q9M0C3	RAE1	ATL14	F23A5.2	F17I23.290	LOCUS:2025732	LOCUS:2118651	21189294:0004:HT
Q38942	Q9M1R2	RAE1	Q9M1R2	F23A5.2	T17J13.80	LOCUS:2025732	LOCUS:2098053	21189294:0004:HT
Q38942	Q9M888	RAE1	CCT6A	F23A5.2	F16B3.16	LOCUS:2025732	LOCUS:2076924	21189294:0004:HT
Q38942	Q9M9X2	RAE1	Q9M9X2	F23A5.2	F18C1.6|F18C1_6	LOCUS:2025732	LOCUS:2078092	21189294:0004:HT
Q38942	Q9MAB3	RAE1	NOP5-2	F23A5.2	T12H1.2	LOCUS:2025732	LOCUS:2096214	21189294:0004:HT
Q38942	Q9MAB9	RAE1	MUB1	F23A5.2	T4P13.27	LOCUS:2025732	LOCUS:2102172	21189294:0004:HT
Q38942	Q9S7V6	RAE1	F17A17.13	F23A5.2		LOCUS:2025732	LOCUS:2077372	21189294:0004:HT
Q38942	Q9SA52	RAE1	CSP41B	F23A5.2	T31J12.6	LOCUS:2025732	LOCUS:2203028	21189294:0004:HT
Q38942	Q9SA56	RAE1	PSAD2	F23A5.2	F10O3_4	LOCUS:2025732	LOCUS:2007519	21189294:0004:HT
Q38942	Q9SCN8	RAE1	CDC48D	F23A5.2	T4D2.160	LOCUS:2025732	LOCUS:2101933	21189294:0004:HT
Q38942	Q9SF16	RAE1	CCT7	F23A5.2	F26K24.12	LOCUS:2025732	LOCUS:2081491	21189294:0004:HT
Q38942	Q9SFU6	RAE1	CALS9	F23A5.2	T1B9.18	LOCUS:2025732	LOCUS:2098565	21189294:0004:HT
Q38942	Q9SKX4	RAE1	RPL3A	F23A5.2	MFL8.11	LOCUS:2025732	LOCUS:2053713	21189294:0004:HT
Q38942	Q9SLH3	RAE1	RGA	F23A5.2	F2I9.19	LOCUS:2025732	LOCUS:2005516	21189294:0004:HT
Q38942	Q9SRX2	RAE1	RPL19A	F23A5.2	F22D16.23	LOCUS:2025732	LOCUS:2024695	21189294:0004:HT
Q38942	Q9STW6	RAE1	HSP70-6	F23A5.2	T22A6.110	LOCUS:2025732	LOCUS:2135897	21189294:0004:HT
Q38942	Q9SY97	RAE1	LHCA3	F23A5.2	T25B24.12	LOCUS:2025732	LOCUS:2200868	21189294:0004:HT
Q38942	Q9SYM1	RAE1	MSL6	F23A5.2	T30F21.6	LOCUS:2025732	LOCUS:2202965	21189294:0004:HT
Q38942	Q9SZJ5	RAE1	SHM1	F23A5.2	F20D10.50	LOCUS:2025732	LOCUS:2005518	21189294:0004:HT
Q38942	Q9XF89	RAE1	LHCB5	F23A5.2	F24G24.140	LOCUS:2025732	LOCUS:2122794	21189294:0004:HT
Q38942	Q9ZUD8	RAE1	F5O8.12	F23A5.2	F28C11.32	LOCUS:2025732	LOCUS:2034808	21189294:0004:HT
Q38945	Q9SU44	AHL	GRF8	F24B18.1	T19F6.5	LOCUS:2147279	LOCUS:2134986	21094157:0004:HT
Q38950	Q9SU44	PP2AA2	GRF8	K13N2.14	T19F6.5	LOCUS:2085994	LOCUS:2134986	21094157:0004:HT
Q38970	Q9FNY0	ACC1	E2FA	F15C21.1	F11F19.8	LOCUS:2034310		20706207:0004:HT|20706207:0676:HT
Q39034	Q9SU44	PER59	GRF8	F28I16.40	T19F6.5	LOCUS:2147645	LOCUS:2134986	21094157:0004:HT
Q39067	Q41969	CYCB1-2	EIF2B	MBL20.2	F22D1.90	LOCUS:2160722	LOCUS:2147162	20706207:0004:HT|20706207:0676:HT
Q39067	Q8LG64	CYCB1-2	CDKB2-2	MBL20.2	F9H16.8	LOCUS:2160722	LOCUS:2037410	20706207:0004:HT|20706207:0676:HT
Q39067	Q93Y35	CYCB1-2	RPN7	MBL20.2	F6I7.30	LOCUS:2160722	LOCUS:2126798	20706207:0004:HT|20706207:0676:HT
Q39067	Q94F20	CYCB1-2	DGR2	MBL20.2	F18G18.200|F18G18_200	LOCUS:2160722	LOCUS:2145457	20706207:0004:HT|20706207:0676:HT
Q39067	Q9C5Z1	CYCB1-2	TIF3B1	MBL20.2	F15A18_100	LOCUS:2160722		20706207:0004:HT|20706207:0676:HT
Q39067	Q9C774	CYCB1-2	RPN8B	MBL20.2	F11B9.19	LOCUS:2160722	LOCUS:2074653	20706207:0676:HT
Q39067	Q9C9H5	CYCB1-2	CEL3	MBL20.2	F26A9.24	LOCUS:2160722	LOCUS:2825314	20706207:0676:HT
Q39067	Q9FVQ1	CYCB1-2	NUCL1	MBL20.2	F27K7.6	LOCUS:2160722	LOCUS:2028451	20706207:0004:HT|20706207:0676:HT
Q39067	Q9M0I4	CYCB1-2	Q9M0I4	MBL20.2	F26K10.110|F26K10_110	LOCUS:2160722	LOCUS:2123723	20706207:0004:HT|20706207:0676:HT
Q39067	Q9MAT0	CYCB1-2	RPN2B	MBL20.2	F13M7.20	LOCUS:2160722	LOCUS:2010672	20706207:0004:HT|20706207:0676:HT
Q39067	Q9SJJ5	CYCB1-2	CKS2	MBL20.2	T1E2.11	LOCUS:2160722	LOCUS:2057825	20706207:0004:HT|20706207:0676:HT
Q39069	Q6EVK6	CYCB1-3	BRM	F24K9.20	F4I18|T3F17.33	LOCUS:2080717	LOCUS:2062999	20706207:0004:HT|20706207:0676:HT
Q39069	Q8GXS3	CYCB1-3	CFIS2	F24K9.20	M7J2.80	LOCUS:2080717	LOCUS:2131839	20706207:0004:HT|20706207:0676:HT
Q39069	Q8H102	CYCB1-3	BHLH128	F24K9.20	T20M3.7	LOCUS:2080717	LOCUS:505006103	20706207:0004:HT|20706207:0676:HT
Q39069	Q8H1F0	CYCB1-3	BZIP29	F24K9.20	F19H22.5	LOCUS:2080717	LOCUS:2141826	20706207:0004:HT|20706207:0676:HT
Q39069	Q8LCN4	CYCB1-3	Q8LCN4	F24K9.20		LOCUS:2080717		20706207:0676:HT
Q39069	Q9FG37	CYCB1-3	GCP3	F24K9.20	MPH15.2	LOCUS:2080717	LOCUS:2170164	20706207:0004:HT|20706207:0676:HT
Q39069	Q9FIP7	CYCB1-3	MZA15.20	F24K9.20		LOCUS:2080717	LOCUS:2178575	20706207:0004:HT
Q39069	Q9LES2	CYCB1-3	UBA2A	F24K9.20	T8M16.190	LOCUS:2080717	LOCUS:2103670	20706207:0004:HT|20706207:0676:HT
Q39069	Q9SGT7	CYCB1-3	NOP56	F24K9.20	T6H22.10|T6H22_10	LOCUS:2080717	LOCUS:2205270	20706207:0004:HT|20706207:0676:HT
Q39069	Q9ZW81	CYCB1-3	BHLH129	F24K9.20	F14B2.8	LOCUS:2080717		20706207:0004:HT|20706207:0676:HT
Q39070	Q8H1F0	CYCB2-2	BZIP29	F8D20.130	F19H22.5	LOCUS:2127948	LOCUS:2141826	20706207:0004:HT|20706207:0676:HT
Q39070	Q93Y35	CYCB2-2	RPN7	F8D20.130	F6I7.30	LOCUS:2127948	LOCUS:2126798	20706207:0676:HT
Q39070	Q945Q1	CYCB2-2	CYS1	F8D20.130	MXC9.10	LOCUS:2127948	LOCUS:2177063	20706207:0004:HT|20706207:0676:HT
Q39070	Q9C9H5	CYCB2-2	CEL3	F8D20.130	F26A9.24	LOCUS:2127948	LOCUS:2825314	20706207:0004:HT|20706207:0676:HT
Q39070	Q9LET7	CYCB2-2	CIP111	F8D20.130	T8M16_200	LOCUS:2127948	LOCUS:2103555	20706207:0004:HT|20706207:0676:HT
Q39070	Q9LZT4	CYCB2-2	EXLA1	F8D20.130	F16L2_180	LOCUS:2127948	LOCUS:2077177	20706207:0004:HT|20706207:0676:HT
Q39070	Q9SJJ5	CYCB2-2	CKS2	F8D20.130	T1E2.11	LOCUS:2127948	LOCUS:2057825	20706207:0004:HT
Q39070	Q9SJR5	CYCB2-2	GRF3	F8D20.130	F1O11.3	LOCUS:2127948	LOCUS:2044873	20706207:0004:HT|20706207:0676:HT
Q39070	Q9SVM8	CYCB2-2	RBG2	F8D20.130	F18A5.240	LOCUS:2127948	LOCUS:2119495	20706207:0004:HT|20706207:0676:HT
Q39071	Q41969	CYCA2-1	EIF2B	F18G18.15	F22D1.90		LOCUS:2147162	20706207:0004:HT|20706207:0676:HT
Q39071	Q93Y35	CYCA2-1	RPN7	F18G18.15	F6I7.30		LOCUS:2126798	20706207:0004:HT|20706207:0676:HT
Q39071	Q9C5U3	CYCA2-1	RPT6A	F18G18.15	F28I16.140		LOCUS:2147670	20706207:0004:HT|20706207:0676:HT
Q39071	Q9LPD2	CYCA2-1	GEN1	F18G18.15	F22M8.2		LOCUS:2025447	20706207:0004:HT|20706207:0676:HT
Q39102	Q9SU44	FTSH1	GRF8	F14I3.14	T19F6.5	LOCUS:2011952	LOCUS:2134986	21094157:0004:HT
Q39129	Q9SJR5	STR16	GRF3	K2A18.11	F1O11.3	LOCUS:2156937	LOCUS:2044873	21094157:0004:HT
Q39227	Q9SU44	SMT2	GRF8	F14O10.7	T19F6.5	LOCUS:2012938	LOCUS:2134986	21094157:0004:HT
Q39233	Q41969	SYP21	EIF2B	F5E19_170	F22D1.90	LOCUS:2148960	LOCUS:2147162	24556609:0004:HT|24556609:0007:HT
Q39233	Q6ICZ8	SYP21	Q6ICZ8	F5E19_170	MAC12.19	LOCUS:2148960	LOCUS:2159093	24556609:0004:HT|24556609:0007:HT
Q39233	Q8LBI1	SYP21	RPL5A	F5E19_170	MWL2.17	LOCUS:2148960	LOCUS:2094508	24556609:0007:HT
Q39233	Q93VH9	SYP21	RPS4A	F5E19_170	F5J6.12	LOCUS:2148960	LOCUS:2827612	24556609:0004:HT|24556609:0007:HT
Q39233	Q93VI3	SYP21	RPL17A	F5E19_170	F17L21.19	LOCUS:2148960	LOCUS:2015929	24556609:0004:HT|24556609:0007:HT
Q39233	Q94AK8	SYP21	RDP1	F5E19_170	F4F7.35|F4F7_35	LOCUS:2148960	LOCUS:2032970	24556609:0004:HT|24556609:0007:HT
Q39233	Q9C865	SYP21	SH3P1	F5E19_170	T8E3.10	LOCUS:2148960	LOCUS:2206174	24556609:0004:HT|24556609:0007:HT
Q39233	Q9C901	SYP21	Q9C901	F5E19_170	F5E6.6|F5E6_6	LOCUS:2148960	LOCUS:2084324	24556609:0004:HT|24556609:0007:HT
Q39233	Q9C9B5	SYP21	Q9C9B5	F5E19_170	F2P9.19|F2P9_19	LOCUS:2148960	LOCUS:2031481	24556609:0004:HT|24556609:0007:HT
Q39233	Q9FEF8	SYP21	FIB1	F5E19_170	K24M7.22	LOCUS:2148960	LOCUS:2156747	24556609:0004:HT|24556609:0007:HT
Q39233	Q9FH46	SYP21	Q9FH46	F5E19_170	K22G18.11|K22G18_11	LOCUS:2148960	LOCUS:2156181	24556609:0004:HT|24556609:0007:HT
Q39233	Q9FKI4	SYP21	NAA10	F5E19_170	MXE10.5	LOCUS:2148960	LOCUS:2177120	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LFE0	SYP21	DOT2	F5E19_170	F5E19.120	LOCUS:2148960	LOCUS:2149010	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LHA8	SYP21	HSP70-4	F5E19_170	T16H11.7|T2E22.11	LOCUS:2148960	LOCUS:2101222	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LJR2	SYP21	LEC	F5E19_170	K7L4.17	LOCUS:2148960	LOCUS:504955770	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LTT8	SYP21	VCS	F5E19_170	MDC11.13	LOCUS:2148960	LOCUS:2088165	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LUG5	SYP21	Q9LUG5	F5E19_170	MDB19.11	LOCUS:2148960	LOCUS:2088015	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LXG1	SYP21	RPS9B	F5E19_170	F8M21_90	LOCUS:2148960	LOCUS:2150976	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LZH9	SYP21	RPL7AB	F5E19_170	F26K9_300	LOCUS:2148960	LOCUS:2081715	24556609:0004:HT|24556609:0007:HT
Q39233	Q9LZJ6	SYP21	ATL5	F5E19_170	F26K9_120	LOCUS:2148960	LOCUS:2081740	24556609:0004:HT
Q39233	Q9M0I2	SYP21	EXPB3	F5E19_170	F26K10.130	LOCUS:2148960	LOCUS:2123643	24556609:0004:HT|24556609:0007:HT
Q39233	Q9MAB3	SYP21	NOP5-2	F5E19_170	T12H1.2	LOCUS:2148960	LOCUS:2096214	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SA23	SYP21	SYP51	F5E19_170	F3O9.4	LOCUS:2148960	LOCUS:2032835	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SEL6	SYP21	VTI11	F5E19_170	MUL8_190	LOCUS:2148960	LOCUS:2175733	24556609:0007:HT|24556609:0004:HT
Q39233	Q9SI07	SYP21	AT2G04280.1	F5E19_170	T23O15.9|T23O15_9	LOCUS:2148960	LOCUS:2059767	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SJ62	SYP21	WDL4	F5E19_170		LOCUS:2148960	LOCUS:2039235	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SL96	SYP21	Q9SL96	F5E19_170	F3N11.12|F3N11_12	LOCUS:2148960	LOCUS:2050333	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SMU7	SYP21	SRP9	F5E19_170	T2J13.60	LOCUS:2148960	LOCUS:2101288	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SMW7	SYP21	BTF3	F5E19_170	F2H15.11	LOCUS:2148960	LOCUS:2030963	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SPE6	SYP21	ASNAP2	F5E19_170	F18O21_150	LOCUS:2148960	LOCUS:2078366	24556609:0007:HT
Q39233	Q9SS17	SYP21	RPS24A	F5E19_170	T9J14.13	LOCUS:2148960	LOCUS:2114830	24556609:0004:HT|24556609:0007:HT
Q39233	Q9STR1	SYP21	RPL31B	F5E19_170	T25K17.40	LOCUS:2148960	LOCUS:2136809	24556609:0004:HT|24556609:0007:HT
Q39233	Q9SZY1	SYP21	Q9SZY1	F5E19_170	F7L13.60	LOCUS:2148960	LOCUS:2127681	24556609:0004:HT|24556609:0007:HT
Q39233	Q9XIJ0	SYP21	Q9XIJ0	F5E19_170	F20B24.1	LOCUS:2148960	LOCUS:2019918	24556609:0004:HT|24556609:0007:HT
Q39233	Q9ZVJ6	SYP21	ANN4	F5E19_170	T6A23.5	LOCUS:2148960	LOCUS:2064222	24556609:0004:HT|24556609:0007:HT
Q39254	Q9SJR5	CAX2	GRF3	MDC11.10|MDC11.19	F1O11.3	LOCUS:2088130	LOCUS:2044873	21094157:0004:HT
Q39264	Q9SJR5	ZFP5	GRF3	T10O24.9	F1O11.3	LOCUS:2194599	LOCUS:2044873	21094157:0004:HT
Q3EBD3	Q9SJR5	RH41	GRF3	F1C9.15	F1O11.3	LOCUS:2828586	LOCUS:2044873	21094157:0004:HT
Q3ECP0	Q8W4M7	TFB1-1	XPD	F20N2.15	F15K9.20	LOCUS:2020447	LOCUS:2014525	20706207:0004:HT|20706207:0676:HT
Q3ECP0	Q9C9M7	TFB1-1	CDKD-2	F20N2.15	F4N21.12	LOCUS:2020447	LOCUS:2033349	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q6NLH0	CYCA3-4	NRPB9A	F8G22.5	K14A17	LOCUS:2036756	LOCUS:2086042	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q8GXS3	CYCA3-4	CFIS2	F8G22.5	M7J2.80	LOCUS:2036756	LOCUS:2131839	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q93Y35	CYCA3-4	RPN7	F8G22.5	F6I7.30	LOCUS:2036756	LOCUS:2126798	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q945K9	CYCA3-4	Q945K9	F8G22.5	F28A23.90|F28A23_90	LOCUS:2036756	LOCUS:2124321	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q9C554	CYCA3-4	EXPA1	F8G22.5	F10D13_18	LOCUS:2036756		20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q9C9H5	CYCA3-4	CEL3	F8G22.5	F26A9.24	LOCUS:2036756	LOCUS:2825314	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q9LPD2	CYCA3-4	GEN1	F8G22.5	F22M8.2	LOCUS:2036756	LOCUS:2025447	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q9M0I4	CYCA3-4	Q9M0I4	F8G22.5	F26K10.110|F26K10_110	LOCUS:2036756	LOCUS:2123723	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q9SJJ5	CYCA3-4	CKS2	F8G22.5	T1E2.11	LOCUS:2036756	LOCUS:2057825	20706207:0004:HT|20706207:0676:HT
Q3ECW2	Q9SSS7	CYCA3-4	Q9SSS7	F8G22.5	F6D8.2|F6D8_2	LOCUS:2036756	LOCUS:2035179	20706207:0004:HT|20706207:0676:HT
Q41969	Q710E8	EIF2B	ORC1A	F22D1.90	DL3390W|FCAALL.93	LOCUS:2147162	LOCUS:2130090	20706207:0004:HT|20706207:0676:HT
Q41969	Q8GYJ3	EIF2B	KRP4	F22D1.90	F24L7.15	LOCUS:2147162	LOCUS:2046427	20706207:0004:HT|20706207:0676:HT
Q41969	Q8L3Z8	EIF2B	FZR2	F22D1.90	F7H19.90	LOCUS:2147162	LOCUS:2127263	20706207:0004:HT|20706207:0676:HT
Q41969	Q8LG64	EIF2B	CDKB2-2	F22D1.90	F9H16.8	LOCUS:2147162	LOCUS:2037410	20706207:0004:HT|20706207:0676:HT
Q41969	Q8LPL5	EIF2B	FZR3	F22D1.90	MAC12.21	LOCUS:2147162	LOCUS:2159078	20706207:0004:HT|20706207:0676:HT
Q41969	Q8W4P1	EIF2B	CDKC-2	F22D1.90	MXK3.19	LOCUS:2147162	LOCUS:2177744	20706207:0676:HT
Q41969	Q9C9M7	EIF2B	CDKD-2	F22D1.90	F4N21.12	LOCUS:2147162	LOCUS:2033349	20706207:0004:HT|20706207:0676:HT
Q41969	Q9FMH5	EIF2B	CYCA3-1	F22D1.90	MMG4.10	LOCUS:2147162	LOCUS:2167761	20706207:0004:HT|20706207:0676:HT
Q41969	Q9LJN8	EIF2B	BUB3.1	F22D1.90	MMB12.5	LOCUS:2147162	LOCUS:2091211	20706207:0004:HT|20706207:0676:HT
