Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0MEB5	Q96291	CYCA3-3	BAS1	F8G22.6	F24K9.28|T19F11.3	LOCUS:2036761	LOCUS:2080707	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9LK29	CYCA3-3	CYC1-1	F8G22.6	K17E12.6	LOCUS:2036761	LOCUS:2086553	20706207:0676:HT
A0MEB5	Q9MAH0	CYCA3-3	PPC1	F8G22.6	F12M16.21	LOCUS:2036761	LOCUS:2009600	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9MAT0	CYCA3-3	RPN2B	F8G22.6	F13M7.20	LOCUS:2036761	LOCUS:2010672	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9SIB9	CYCA3-3	ACO3	F8G22.6	T3P4.5	LOCUS:2036761	LOCUS:2063354	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9SJJ5	CYCA3-3	CKS2	F8G22.6	T1E2.11	LOCUS:2036761	LOCUS:2057825	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9SJR5	CYCA3-3	GRF3	F8G22.6	F1O11.3	LOCUS:2036761	LOCUS:2044873	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9SRH5	CYCA3-3	VDAC1	F8G22.6	T22N4.9	LOCUS:2036761	LOCUS:2100252	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9SYT0	CYCA3-3	ANN1	F8G22.6	F14D7.2	LOCUS:2036761	LOCUS:2011344	20706207:0004:HT|20706207:0676:HT
A0MEB5	Q9ZRW8	CYCA3-3	GSTU19	F8G22.6	F3F9.11	LOCUS:2036761	LOCUS:2032100	20706207:0004:HT|20706207:0676:HT
A2RVS6	Q9CAG1	SR34A	Q9CAG1	T1G12.13|T9C5.30	F12B7.13|F12B7_13	LOCUS:2114643	LOCUS:2008595	20706207:0004:HT|20706207:0676:HT
A4FVR1	Q9SN11	GIP1L	CYCD3-3	F14J16.6|F20N2.19	F3A4.150	LOCUS:2012015	LOCUS:2083128	20706207:0004:HT|20706207:0676:HT
A4GSN8	Q24JJ9	NUA	NUP43	YUP8H12R.11|YUP8H12R.12|YUP8H12R.8|YUP8H12R.9	F6I18.250	LOCUS:2207390	LOCUS:2126689	21189294:0004:HT
A4GSN8	Q38942	NUA	RAE1	YUP8H12R.11|YUP8H12R.12|YUP8H12R.8|YUP8H12R.9	F23A5.2	LOCUS:2207390	LOCUS:2025732	21189294:0004:HT
A4GSN8	Q9FWS3	NUA	CG1	YUP8H12R.11|YUP8H12R.12|YUP8H12R.8|YUP8H12R.9	F1B16.12	LOCUS:2207390	LOCUS:2018452	21189294:0004:HT
A6QRA0	P42752	A6QRA0	CYCD2-1		F14M13.11			20706207:0676:HT
A8MQA1	Q9LK09	BBC1	SYP32		K7M2.13			24556609:0004:HT
A8MQM3	Q9C9M7	A8MQM3	CDKD-2	F4I1.54	F4N21.12		LOCUS:2033349	20706207:0004:HT
A8MR12	Q9SIV2	MQM1.19	RPN1A		F23N11.10		LOCUS:2046016	20706207:0004:HT
B3DNN5	F4J6Z1	APC6	UEV1D-4	F9K20.19	F3C22.2	LOCUS:2037523	LOCUS:2079984	20706207:0004:HT
B3DNN5	P46637	APC6	ARGAH1	F9K20.19	T3H13.7	LOCUS:2037523	LOCUS:2138718	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q8H1U5	APC6	APC2	F9K20.19	F28I8.30	LOCUS:2037523	LOCUS:2049173	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q8LGU6	APC6	CDC27B	F9K20.19	T2G17.20	LOCUS:2037523	LOCUS:2061649	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q8LPL5	APC6	FZR3	F9K20.19	MAC12.21	LOCUS:2037523	LOCUS:2159078	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q8VY89	APC6	APC7	F9K20.19	T7F6.26	LOCUS:2037523	LOCUS:2065011	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q8VZS9	APC6	FZR1	F9K20.19	T26M18.130	LOCUS:2037523	LOCUS:2137030	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q94JQ4	APC6	RIDA	F9K20.19	MQC12.15	LOCUS:2037523	LOCUS:2092374	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q9C9C4	APC6	ENO1	F9K20.19	F2P9.10	LOCUS:2037523	LOCUS:2031476	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q9C9M7	APC6	CDKD-2	F9K20.19	F4N21.12	LOCUS:2037523	LOCUS:2033349	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q9M2R1	APC6	GIG1	F9K20.19	T10K17.70	LOCUS:2037523	LOCUS:2095823	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q9STS3	APC6	APC8	F9K20.19	T24C20.30	LOCUS:2037523	LOCUS:2100439	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q9SVD7	APC6	UEV1D	F9K20.19	F22O6.60	LOCUS:2037523		20706207:0004:HT|20706207:0676:HT
B3DNN5	Q9SZA4	APC6	CDC20-1	F9K20.19	F17M5.30	LOCUS:2037523	LOCUS:2119151	20706207:0004:HT|20706207:0676:HT
B3DNN5	Q9ZPW2	APC6	APC10	F9K20.19	T30D6.20	LOCUS:2037523	LOCUS:2062106	20706207:0004:HT|20706207:0676:HT
B3H4Y3	Q8H1U5	B3H4Y3	APC2	F12B7.9|F12B7_9	F28I8.30	LOCUS:2008823	LOCUS:2049173	20706207:0004:HT|20706207:0676:HT
B3H5E3	O23249	P5CS2	CKS1		T1E2.12		LOCUS:2057836	20706207:0004:HT
B3H5E3	Q9LM91	P5CS2	CYCB2-5		F2D10.8|F5M15.8		LOCUS:2030457	20706207:0004:HT
B3H5S2	O22224	RBCS3B	NUP93A		T32G6.14	LOCUS:2177426	LOCUS:2062693	21189294:0004:HT
B3H5S2	Q9CAF4	RBCS3B	NUP1		F13M14.6|F18K10.27	LOCUS:2177426	LOCUS:2075785	21189294:0004:HT
B3H6B0	Q9SIV2	EMB2107	RPN1A		F23N11.10	LOCUS:2178138	LOCUS:2046016	20706207:0004:HT
B3H6K1	Q9C829	B3H6K1	NUP50A	T6K21.90	F19K6.4	LOCUS:2141080	LOCUS:2018204	21189294:0004:HT
B3LF48	Q9C829	EHD2	NUP50A	T1J24.10	F19K6.4	LOCUS:2135462	LOCUS:2018204	21189294:0004:HT
B4F7N8	Q9CAF4	B4F7N8	NUP1	F20L16.140|F20L16_140	F13M14.6|F18K10.27	LOCUS:2146208	LOCUS:2075785	21189294:0004:HT
B4F7P5	F4JL11	B4F7P5	IMPA2				LOCUS:505006475	20706207:0004:HT
B4F7P5	P24100	B4F7P5	CDKA-1		T21J18.20		LOCUS:2099478	20706207:0004:HT
B4F7P5	P42752	B4F7P5	CYCD2-1		F14M13.11			20706207:0004:HT
B4F7P5	Q0WQN9	B4F7P5	CYCD4-2		F12B17.210		LOCUS:2142504	20706207:0004:HT
B4F7P5	Q41969	B4F7P5	EIF2B		F22D1.90		LOCUS:2147162	20706207:0004:HT
B4F7P5	Q8VY07	B4F7P5	EPSIN1		T22P22.100		LOCUS:2181920	20706207:0004:HT
B4F7P5	Q9C554	B4F7P5	EXPA1		F10D13_18			20706207:0004:HT
B4F7P5	Q9C5Z2	B4F7P5	TIF3H1		T16B5.2		LOCUS:2196469	20706207:0004:HT
B4F7P5	Q9C629	B4F7P5	Q9C629		F2G19.29		LOCUS:2825822	20706207:0004:HT
B4F7P5	Q9C9H5	B4F7P5	CEL3		F26A9.24		LOCUS:2825314	20706207:0004:HT
B4F7P5	Q9FMF5	B4F7P5	RPT3		MSJ1.17		LOCUS:2173418	20706207:0004:HT
B4F7P5	Q9LY29	B4F7P5	ERF115		T2I1.20		LOCUS:2183304	20706207:0004:HT
B4F7P5	Q9M0I4	B4F7P5	Q9M0I4		F26K10.110|F26K10_110		LOCUS:2123723	20706207:0004:HT
B4F7P5	Q9ZR04	B4F7P5	CYCD6-1		F4C21.20		LOCUS:2125522	20706207:0004:HT
B5BPE6	O81001	FWA	GRF1		T20K9.5		LOCUS:2059206	21094157:0004:HT
B5BPE6	Q9SJR5	FWA	GRF3		F1O11.3		LOCUS:2044873	21094157:0004:HT
B5BPE6	Q9SU44	FWA	GRF8		T19F6.5		LOCUS:2134986	21094157:0004:HT
B5X0I6	P93654	VIP6	SYP22		MSD23.9	LOCUS:2051592	LOCUS:3356150	24556609:0004:HT|24556609:0007:HT
B5X0I6	Q39067	VIP6	CYCB1-2		MBL20.2	LOCUS:2051592	LOCUS:2160722	20706207:0004:HT|20706207:0676:HT
B5X0I6	Q9FGQ7	VIP6	CYCD3-2		K3G17.2	LOCUS:2051592	LOCUS:2157172	20706207:0004:HT|20706207:0676:HT
B5X0I6	Q9FMH5	VIP6	CYCA3-1		MMG4.10	LOCUS:2051592	LOCUS:2167761	20706207:0004:HT|20706207:0676:HT
B5X0I6	Q9LDM4	VIP6	CYCB2-3		F2D10.10|F5M15.6	LOCUS:2051592	LOCUS:2030482	20706207:0004:HT|20706207:0676:HT
B5X0I6	Q9ZPW2	VIP6	APC10		T30D6.20	LOCUS:2051592	LOCUS:2062106	20706207:0004:HT|20706207:0676:HT
B5X4Z9	Q38942	B5X4Z9	RAE1	T24I21.16|T24I21_16	F23A5.2	LOCUS:2059919	LOCUS:2025732	21189294:0004:HT
B9DFC8	P93654	B9DFC8	SYP22		MSD23.9		LOCUS:3356150	24556609:0007:HT
